County,State,Population in 2010,Area (sq km),Total Onshore & Offshore Hydrogen Potential (kg/yr)
Herkimer,New York,64519,3767,2789756.11
Dutchess,New York,297488,2126,5988890.1
Grant,North Dakota,2394,4304,9981692.01
Angelina,Texas,86771,2246,15038864.92
Wood,Texas,41964,1808,1501610.3
Nacogdoches,Texas,64524,2536,18001870.88
Limestone,Alabama,82782,1572,8831105.44
Fairbanks North Star,Alaska,97581,19281,4165023.43
Jefferson,Georgia,16930,1375,15509726.92
Johnson,Georgia,9980,794,2708112.88
Treutlen,Georgia,6885,523,1188861.2
Washington,Georgia,21187,1772,5411423.57
Columbia,Georgia,124053,801,3585016.14
DeKalb,Georgia,691893,700,10355549.81
Fannin,Georgia,23682,1021,611865.25
Brevard,Florida,543376,2794,7626502.72
Culberson,Texas,2398,9879,98338
Telfair,Georgia,16500,1151,4402102.2
Tift,Georgia,40118,696,3502683.85
Craig,Virginia,5190,852,677530.59
Juneau,Wisconsin,26664,2090,5373118.99
Oneida,Wisconsin,35998,3201,3127218.56
Hinsdale,Colorado,843,2911,12380.12
Volusia,Florida,494593,3087,8471106.74
Stewart,Georgia,6058,1213,3049896.72
Quitman,Georgia,2513,426,515362.22
Talbot,Georgia,6865,1023,1834084.12
Seminole,Georgia,8729,668,4064705.6
Coweta,Georgia,127317,1152,3125881.48
Johnston,North Carolina,168878,2058,32091856.87
Gilpin,Colorado,5441,390,84604.07
Arlington,Virginia,207627,69,3696515.34
Goochland,Virginia,21717,751,1254593.36
Manassas,Virginia,37821,26,675993.71
Henry,Virginia,54151,998,4013486.59
Doddridge,West Virginia,8202,830,2536303.3
Tucker,West Virginia,7141,1095,3446519.83
Brown,Wisconsin,248007,1388,11883697.92
Forest,Wisconsin,9304,2711,5961808.02
Fayette,Texas,24554,2476,801712.1
Johnson,Nebraska,5217,973,4185449.99
Richland,North Dakota,16321,3752,45908500.4
Lawrence,Ohio,62450,1186,1167499.72
Erie,Ohio,77079,672,6018931.49
Monroe,Ohio,14642,1188,296689.86
Ross,Ohio,78064,1794,10604450
Gonzales,Texas,19807,2776,1147554.88
Red River,Texas,12860,2747,3201469.82
Duval,Texas,11782,4655,158844.71
San Jacinto,Texas,26384,1621,2129450.62
Franklin,Texas,10605,761,454982.53
Tyler,Texas,21766,2439,6711664.13
Walker,Texas,67861,2058,2380227.03
Rains,Texas,10914,675,182471.23
Goliad,Texas,7210,2227,316485.44
Guadalupe,Texas,131533,1861,4415189.5
Karnes,Texas,14824,1964,927664.46
Wilson,Texas,42918,2087,2056860.5
Montgomery,Texas,455746,2826,27824115.16
Kleberg,Texas,32061,2451,2411567.35
Wichita,Texas,131500,1643,7309512.82
Rusk,Texas,53330,2426,19459745.16
Edwards,Texas,2002,5471,27860.22
Lincoln,New Mexico,20497,12474,667912.47
Saratoga,New York,219607,2168,7944523.81
Wilkin,Minnesota,6576,1940,22478951.61
Lawrence,South Dakota,24097,2075,2945271.5
Carroll,Ohio,28836,1035,1700247.15
Muskingum,Ohio,86074,1743,4180081.89
Stark,Ohio,375586,1503,23883453.04
Pike,Ohio,28709,1148,8065102.38
Highland,Ohio,43589,1446,10627979.59
Arthur,Nebraska,460,1867,456533.3
Polk,Oregon,75403,1929,14674488.26
Jackson,Oregon,203206,7244,21354761.3
Beaufort,North Carolina,47759,2124,19427710.86
Carteret,North Carolina,66469,1362,2513788.15
Thomas,Nebraska,647,1841,201447.22
Sandoval,New Mexico,131561,9626,1805124.95
Ontario,New York,107931,1718,7861541.82
Broome,New York,200600,1855,7335851.47
Chenango,New York,50477,2338,4286378.58
Iredell,North Carolina,159437,1530,7839735.81
Craven,North Carolina,103505,1817,19147990.92
