County,State,Population in 2010,Area (sq km),Total Onshore & Offshore Hydrogen Potential (kg/yr)
Magoffin,Kentucky,13333,803,955337.35
Page,Iowa,15932,1381,15656210.53
Morgan,Kentucky,13923,995,2960924.56
Rowan,Kentucky,23333,740,5313061.2
Harlan,Kentucky,29278,1210,2663715.67
Leslie,Kentucky,11310,1050,2092349.45
Montgomery,Kentucky,26499,515,2862954.63
Perry,Kentucky,28712,886,2383386.44
Madison,Kentucky,82916,1148,1487110.35
Carter,Kentucky,27720,1068,2491178.76
Greenup,Kentucky,36910,914,9073451.76
Knox,Kentucky,31883,1004,5882326.88
Lewis,Kentucky,13870,1276,5467904.73
Clay,Kentucky,21730,1215,827544.45
Shelby,Iowa,12167,1527,24157879.68
Whitley,Kentucky,35637,1148,2789668.24
Bath,Kentucky,11591,737,623746.5
Lee,Kentucky,7887,544,3245802.09
Wolfe,Kentucky,7355,579,1873727.45
Bell,Kentucky,28691,932,1640278.05
Owsley,Kentucky,4755,513,726524.99
Fleming,Kentucky,14348,911,2904130.21
Bracken,Kentucky,8488,543,1016464.32
Campbell,Kentucky,90336,410,1399926.25
Harrison,Kentucky,18846,803,714150.53
Robertson,Kentucky,2282,261,430335.03
Boyd,Kentucky,49542,424,1519307.18
Audubon,Iowa,6119,1146,15364620.03
Carroll,Missouri,9295,1819,10847272.8
Cass,Iowa,13956,1460,13304061.12
Warren,Kentucky,113792,1419,7885846.25
Boone,Kentucky,118811,659,2468707.83
Franklin,Kentucky,49285,550,3255253.48
Gallatin,Kentucky,8589,272,555072.31
Grant,Kentucky,24662,677,5317748.75
Owen,Kentucky,10841,916,450471.36
Kenton,Kentucky,159720,425,3060578.54
Scott,Kentucky,47173,737,990582.28
Bullitt,Kentucky,74319,777,1795270.33
Larue,Kentucky,14193,681,3598389.05
Marion,Kentucky,19820,900,3405092.88
Nelson,Kentucky,43437,1100,5130339.9
Spencer,Kentucky,17061,497,1176030.06
Iberville,Louisiana,33387,1690,23995907.56
Montgomery,Iowa,10740,1090,12416608.33
Acadia,Louisiana,61773,1701,13640032.5
St. Landry,Louisiana,83384,2427,21466472.38
St. Mary,Louisiana,54650,1789,23456760.49
Assumption,Louisiana,23421,954,22086644.48
Vermilion,Louisiana,57999,3379,20682229.03
Tangipahoa,Louisiana,121097,2134,6321529.24
Washington,Louisiana,47168,1756,25425745.01
West Feliciana,Louisiana,15625,1111,4255891.91
St. Martin,Louisiana,52160,2119,15450806.98
Ascension,Louisiana,107215,786,16250822.14
East Baton Rouge,Louisiana,440171,1223,9444426.6
Lafourche,Louisiana,96318,3116,14713647.82
Livingston,Louisiana,128026,1822,10256000.66
St. Charles,Louisiana,52780,1060,786347.85
St. James,Louisiana,22102,661,13152518.72
Floyd,Iowa,16303,1303,18128092.44
Plaquemines,Louisiana,23042,3034,397765.9
St. Bernard,Louisiana,35897,1374,644686.34
Allen,Louisiana,25764,1979,7021942.79
Beauregard,Louisiana,35654,3023,32656376.7
Calcasieu,Louisiana,192768,2831,5940797.8
Cameron,Louisiana,6839,4312,1290581.47
Jefferson Davis,Louisiana,31594,1708,8634731.02
Bossier,Louisiana,116979,2238,7521201
Caddo,Louisiana,254969,2439,11088292.6
Claiborne,Louisiana,17195,1986,4691997.71
West Carroll,Louisiana,11604,933,6788025.54
Caldwell,Louisiana,10132,1404,4511207.93
Franklin,Louisiana,20767,1646,11769761.44
Grant,Louisiana,22309,1717,3832050.42
Winneshiek,Iowa,21056,1802,18555288.54
Richland,Louisiana,20725,1459,11637475.73
Winn,Louisiana,15313,2493,57881727.71
Lincoln,Louisiana,46735,1225,3071469.45
Union,Louisiana,22721,2346,10513800.97
East Carroll,Louisiana,7759,1154,18018941.85
Marshall,Iowa,40648,1487,23585675.14
Covington,Virginia,5961,14,111663.47
Buchanan,Iowa,20958,1485,26248951.23
Washington,Maine,32856,7111,4736677.85
Somerset,Maine,52228,10609,21321448.5
Hancock,Maine,54418,4367,4652897.14
Kennebec,Maine,122151,2463,5488487.97
Knox,Maine,39736,985,1162438.35
Lincoln,Maine,34457,1219,1592637.97
Waldo,Maine,38786,1958,2826196.48
Fayette,Iowa,20880,1906,23944875.08
Cumberland,Maine,281674,2402,8813071.45
Oxford,Maine,57833,5639,10707324.54
York,Maine,197131,2638,5299161.21
Aroostook,Maine,71870,17687,20132184.26
Black Hawk,Iowa,131090,1480,21755212.59
Piscataquis,Maine,17535,11336,14418093.3
Harford,Maryland,244826,1149,6819792.88
Anne Arundel,Maryland,537656,1084,9174467.54
Frederick,Maryland,233385,1725,9453563.04
Washington,Maryland,147430,1208,6632960.24
Allegany,Maryland,75087,1088,9054153.79
Calvert,Maryland,88737,559,2499165.85
Howard,Maryland,287085,651,6147310.67
Garrett,Maryland,30097,1723,2046607.53
Kent,Maryland,20197,704,7059109.24
Montgomery,Maryland,971777,1301,15174543.26
Bremer,Iowa,24276,1137,16618564.16
Baltimore City,Maryland,620961,207,9484741.79
St. Mary's,Maryland,105151,922,4278077.07
Dorchester,Maryland,32618,1489,13695309.43
Charles,Maryland,146551,1186,7577808.94
Baltimore,Maryland,805029,1567,17905531.93
Carroll,Maryland,167134,1169,8158933.92
Somerset,Maryland,26470,828,6597920.46
Worcester,Maryland,51454,1231,6596853.17
Wicomico,Maryland,98733,976,6988608.34
Cecil,Maryland,101108,928,6811942.45
Caroline,Maryland,33066,832,7776419.36
Suffolk,Massachusetts,722023,162,14532643.67
Gogebic,Michigan,16427,2952,5875944.28
Ontonagon,Michigan,6780,3442,2257182.31
Butler,Iowa,14867,1507,20204070.04
Montgomery,Ohio,535153,1203,13131421.24
Burt,Nebraska,6858,1292,14667568.13
Chickasaw,Iowa,12439,1313,18407055.44
Logan,West Virginia,36743,1176,980370.57
Howard,Iowa,9566,1232,18579692.57
Grafton,New Hampshire,89118,4529,6558991.8
Mitchell,Iowa,10776,1230,17718809.7
Gaston,North Carolina,206086,937,4425253.56
Allamakee,Iowa,14330,1703,13160611.38
Delaware,Iowa,17764,1500,21941841.73
Sharkey,Mississippi,4916,1122,9891865.07
Humphreys,Mississippi,9375,1120,10432790.35
Carroll,Mississippi,10597,1650,3775660.67
Lowndes,Mississippi,59779,1347,10448789.21
Lawrence,Tennessee,41869,1604,9143633.12
McIntosh,Oklahoma,20252,1835,326438.24
Linn,Iowa,211226,1869,22854601.83
Dubuque,Iowa,93653,1599,16431143.89
Lucas,Iowa,8898,1125,2450684.58
Beaver,Oklahoma,5636,4679,4528231.36
Monroe,Iowa,7970,1117,3299551.82
Tioga,Pennsylvania,41981,2948,4493125.88
Taylor,Iowa,6317,1389,8767059.19
Crawford,Pennsylvania,88765,2672,9319907.37
Adams,Iowa,4029,1099,7947662.23
Davidson,Tennessee,626681,1372,11565268.71
Clarke,Iowa,9286,1108,3187572.81
Ray,Missouri,23494,1483,5104880.54
Saline,Missouri,23370,1977,15160981.97
Miller,Missouri,24748,1561,2086621.21
Duchesne,Utah,18607,8428,767051.19
Tipton,Tennessee,61081,1221,6674621.17
Decatur,Iowa,8457,1385,3778319.74
Richland,Montana,9746,5445,5980381.46
Glacier,Montana,13399,7910,6541916.39
Flathead,Montana,90928,13578,24435313.94
Lincoln,Montana,19687,9541,2447166.68
Beaverhead,Montana,9246,14415,1448521.56
Deer Lodge,Montana,9298,1921,387638.41
Granite,Montana,3079,4505,428661.54
Lake,Montana,28746,4310,4341552.34
Mineral,Montana,4223,3155,3689045.06
Missoula,Montana,109299,6765,13208498.61
Powell,Montana,7027,6055,5364025.31
Ravalli,Montana,40212,6222,1761826.04
Ringgold,Iowa,5131,1396,5293150.03
Jefferson,Montana,11406,4311,4806154.09
Judith Basin,Montana,2072,4867,2034233.65
Lewis and Clark,Montana,63395,9022,3156235.51
Meagher,Montana,1891,6212,554594.53
Wheatland,Montana,2168,3705,740031.67
Park,Montana,15636,7295,5190528.77
Sweet Grass,Montana,3651,4835,168944.09
Carbon,Montana,10078,5334,1208116.82
Fergus,Montana,11586,11255,6415429.12
Garfield,Montana,1206,12554,2335591.4
Musselshell,Montana,4538,4855,730549.31
Petroleum,Montana,494,4331,930925.61
Stillwater,Montana,9117,4672,1189959.81
Appanoose,Iowa,12887,1335,2954246.92
Cherokee,Texas,50845,2745,22447751.09
Wayne,Iowa,6403,1365,4910600.11
Hunt,Texas,86129,2277,3878950.91
Van Buren,Iowa,7570,1265,6001349.1
Page,Virginia,24042,808,1880571.43
Davis,Iowa,8753,1307,3435737.28
Albany,Wyoming,36299,11171,928146.91
King,Washington,1931249,5680,34998466.88
Wapello,Iowa,35625,1128,7933645.79
Crawford,Wisconsin,16644,1539,5780355.94
Henry,Iowa,20145,1130,14000169.39
Marinette,Wisconsin,41749,3677,9239639.82
Jefferson,Iowa,16843,1133,8177818.2
Palo Alto,Iowa,9421,1482,29720212.17
Pocahontas,Iowa,7310,1495,26326434.31
Buena Vista,Iowa,20260,1496,26739230.14
Clay,Iowa,16667,1483,23723438.39
Jasper,Iowa,36842,1899,25065704.55
Marion,Iowa,33309,1487,13482220.44
Carroll,Iowa,20816,1480,22313907.66
Humboldt,Iowa,9815,1136,16565838.19
McPherson,Nebraska,539,2226,229452.1
Kossuth,Iowa,15543,2551,48339659.68
Greene,Iowa,9336,1480,20397567.48
Winnebago,Iowa,10866,1054,16932494.79
Wright,Iowa,13229,1506,27184574.18
Hooker,Nebraska,736,1871,10924.53
Cerro Gordo,Iowa,44151,1498,20525381.89
Adair,Iowa,7682,1480,12550061.46
Hillsborough,New Hampshire,400721,2307,8879429.66
Sullivan,New Hampshire,43742,1425,2728255.33
Merrimack,New Hampshire,146445,2478,4767287.49
Carroll,New Hampshire,47818,2576,2674564.28
Coos,New Hampshire,33055,4749,16258216.79
Belknap,New Hampshire,60088,1212,2034661.27
Strafford,New Hampshire,123143,984,2388728.49
Atlantic,New Jersey,274549,1500,5410623.3
Warren,New Jersey,108692,937,3615448.56
Hudson,New Jersey,634266,132,9875719.94
Worth,Iowa,7598,1050,15349222.45
Morris,New Jersey,492276,1240,8106578.74
Passaic,New Jersey,501226,507,7643089.44
Camden,New Jersey,513657,585,9027400.07
Sussex,New Jersey,149265,1390,2341771.42
Gloucester,New Jersey,288288,874,7834068
Salem,New Jersey,66083,918,4563618.07
Monmouth,New Jersey,630380,1237,11223316.23
Essex,New Jersey,783969,336,15711042.31
Union,New Jersey,536499,274,9549382.32
Middlesex,New Jersey,809858,809,16462128.54
Bergen,New Jersey,905116,648,14957971.49
Burlington,New Jersey,448734,2133,9251901.33
Cumberland,New Jersey,156898,1340,4009540.86
Ocean,New Jersey,576567,1705,9051303.8
Guthrie,Iowa,10954,1537,13974695.78
Chaves,New Mexico,65645,15774,3213476.32
Dona Ana,New Mexico,209233,9898,4087644.66
De Baca,New Mexico,2022,6057,49526.2
San Miguel,New Mexico,29393,12247,484698.51
Roosevelt,New Mexico,19846,6321,1959440.75
Union,New Mexico,4549,9919,1294269.76
Eddy,New Mexico,53829,10889,1434511.55
Otero,New Mexico,63797,17148,3347269.33
McKinley,New Mexico,71492,14196,947754.19
Franklin,Iowa,10680,1507,27692562.01
Ulster,New York,182493,3016,4096666.96
Monroe,New York,744344,1734,15110710.04
Westchester,New York,949113,1227,13598313.91
Orleans,New York,42883,1021,5992069.31
Bronx,New York,1385108,105,18006731.83
Kings,New York,2504700,172,37881988.5
Chautauqua,New York,134905,2810,5798537.84
Steuben,New York,98990,3636,7068410.1
Montgomery,New York,50219,1065,2114859.42
Cayuga,New York,80026,1894,8964303.15
Onondaga,New York,467026,2096,12728165.07
Oswego,New York,122109,2616,4977586.76
Schuyler,New York,18343,881,1122318.94
Crawford,Iowa,17096,1850,27075776.37
Madison,New York,73442,1724,3824464.01
Oneida,New York,234878,3258,9292950.41
Clinton,New York,82128,2901,3089686.86
Otsego,New York,62259,2609,3728334.99
Essex,New York,39370,4959,6682773.05
Franklin,New York,51599,4378,3016162.08
Albany,New York,304204,1380,5574483.43
Fulton,New York,55531,1388,1630647.33
Greene,New York,49221,1705,1051834.98
Dallas,Iowa,66135,1532,17427103.39
Cattaraugus,New York,80317,3433,7626351.11
Schenectady,New York,154727,545,2270612.97
Allegany,New York,48946,2669,4420277.64
Boone,Iowa,26306,1484,22307698.03
Warren,New York,65707,2399,7658918.65
Washington,New York,63216,2222,4411861.59
Columbia,New York,63096,1669,2649157.19
Rensselaer,New York,159429,1718,5184028.14
Richmond,New York,468730,145,6176346.65
Delaware,New York,47980,3780,4430295.04
Hamilton,New York,4836,4665,1253097.11
Orange,New York,372813,2179,6372059.13
Putnam,New York,99710,641,1386377.72
Nassau,New York,1339532,715,18732205.43
Niagara,New York,216469,1364,7412040.59
Erie,New York,919040,2717,17235872.35
Queens,New York,2230722,282,31257587.3
Madison,Iowa,15679,1455,8029014.3
Tompkins,New York,101564,1271,2505141.91
Suffolk,New York,1493350,2435,22141113.81
Sullivan,New York,77547,2578,1742834.62
Wayne,New York,93772,1586,6822745.09
Yancey,North Carolina,17818,807,3433850.27
Haywood,North Carolina,59036,1433,12306170.37
Jackson,North Carolina,40271,1281,3756634.39
Richmond,North Carolina,46639,1231,4385344.77
Pamlico,North Carolina,13144,884,5487619.05
Granville,North Carolina,59916,1392,4614015.01
Calhoun,Iowa,9670,1480,22178155.38
Randolph,North Carolina,141752,2047,12839261.56
Watauga,North Carolina,51079,813,1451603.76
Mitchell,North Carolina,15579,568,1424330.73
Catawba,North Carolina,154358,1063,10260942.91
Cabarrus,North Carolina,178011,951,4015212.47
Davie,North Carolina,41240,682,2994034.6
Rowan,North Carolina,138428,1340,16274005.61
Stanly,North Carolina,60585,1054,5149954.81
Robeson,North Carolina,134168,2453,17698361.07
Edgecombe,North Carolina,56552,1315,8551300.26
Dare,North Carolina,33920,1047,529752.63
Brunswick,North Carolina,107431,2196,7484938.81
Columbus,North Carolina,58098,2471,43014839.19
Greene,North Carolina,21362,688,5766851.76
Ida,Iowa,7089,1121,16888691.9
Sac,Iowa,10350,1494,23848233.77
Hamilton,Iowa,15673,1496,26334222.67
Hardin,Iowa,17534,1477,28924138.99
Webster,Iowa,38013,1861,28962878.56
Grundy,Iowa,12453,1295,28477779.25
Benton,Iowa,26076,1864,27822500.56
Atoka,Oklahoma,14182,2560,874871.2
Bryan,Oklahoma,42416,2464,1671870.75
Wagoner,Oklahoma,73085,1546,1672327.64
Sequoyah,Oklahoma,42391,1856,1790833.6
Jackson,Oklahoma,26446,2102,5226558.71
Keokuk,Iowa,10511,1505,14972738.55
Iowa,Iowa,16355,1524,17542905.97
Mahaska,Iowa,22381,1489,18056813.74
Poweshiek,Iowa,18914,1520,20519972.03
Tama,Iowa,17767,1874,27049139.62
Cedar,Iowa,18499,1508,22801632.4
Washington,Rhode Island,126979,913,2930754.24
Calhoun,South Carolina,15175,1017,4210300.85
Clarendon,South Carolina,34971,1807,9317916.3
Dorchester,South Carolina,136555,1483,13549717.29
Jones,Iowa,20638,1488,16658585.45
Kershaw,South Carolina,61697,1914,6962111.36
Aiken,South Carolina,160099,2803,8064916.68
Sumter,South Carolina,107456,1763,10818768
Chesterfield,South Carolina,46734,2082,6340565.42
Chester,South Carolina,33140,1517,4578419.63
Saluda,South Carolina,19875,1200,3720089.09
Greenville,South Carolina,451225,2051,9604632.45
Berkeley,South Carolina,177843,3175,8106052.62
Louisa,Iowa,11387,1075,10542156.76
Woodbury,Iowa,102172,2276,25580200.53
Lyon,Iowa,11581,1525,31954671.54
O'Brien,Iowa,14398,1489,25161955.12
Georgetown,South Carolina,60158,2156,28858349.84
Beaufort,South Carolina,162233,1591,3947843.56
Jasper,South Carolina,24777,1718,7767990.57
Allendale,South Carolina,10419,1072,35682207.91
Bamberg,South Carolina,15987,1021,6087351.44
Barnwell,South Carolina,22621,1448,4455607.62
Orangeburg,South Carolina,92501,2908,15546447.68
Dillon,South Carolina,32062,1061,7681939.85
Florence,South Carolina,136885,2088,36369288.4
Fairfield,South Carolina,23956,1841,7754810.43
Darlington,South Carolina,68681,1469,21235057.69
Horry,South Carolina,269291,2968,14350744.4
Marion,South Carolina,33062,1277,4521548.79
Rooks,Kansas,5181,2314,6642708.15
Barton,Kansas,27674,2326,11824526.45
Lexington,South Carolina,262391,1957,7875759.45
Anderson,South Carolina,187126,1969,4638575
Laurens,South Carolina,66537,1875,8760514.75
Edgefield,South Carolina,26985,1310,4745977.42
Union,South Carolina,28961,1339,4765618.27
Cherokee,South Carolina,55342,1029,2509411.12
McCormick,South Carolina,10233,1015,2939886.23
Abbeville,South Carolina,25417,1329,3317767.41
Spartanburg,South Carolina,284307,2115,7935727.29
Stafford,Kansas,4437,2052,12600277.83
Ness,Kansas,3107,2788,5230380.23
Graham,Kansas,2597,2330,5105139.77
Osborne,Kansas,3858,2324,5651358.56
Pawnee,Kansas,6973,1946,10802628.16
Russell,Kansas,6970,2329,4215317.16
Houston,Texas,23732,3205,2550967.93
Barber,Kansas,4861,2933,5048877.43
Jasper,Texas,35710,2487,23899510.19
Jefferson,Texas,252273,2573,12943435.84
Clark,Kansas,2215,2556,2489772.35
Kiowa,Kansas,2553,1870,6532071.57
Pratt,Kansas,9656,1902,13721032.02
Harper,Kansas,6034,2077,7439561.23
Kingman,Kansas,7858,2252,9451642.35
Ellsworth,Kansas,6497,1878,3959498.63
Lincoln,Kansas,3241,1865,5084231.19
Ottawa,Kansas,6091,1864,7058061.24
Rice,Kansas,10083,1889,11788232.91
Saline,Kansas,55606,1865,9358914.55
Harvey,Kansas,34684,1397,12580045.52
McPherson,Kansas,29180,2338,15295357.17
Chase,Kansas,2790,2023,1314827.39
Greenwood,Kansas,6689,2986,1613595.85
Lyon,Kansas,33690,2212,4383698.62
Morris,Kansas,5923,1822,3460153.46
Coffey,Kansas,8601,1709,3204582.75
Woodson,Kansas,3309,1311,2637792.31
Chautauqua,Kansas,3669,1672,468871.64
Elk,Kansas,2882,1685,565496.95
Montgomery,Kansas,35471,1678,5263788.49
Phillips,Kansas,5642,2314,5952601.86
Smith,Kansas,3853,2322,8780269.6
Cloud,Kansas,9533,1855,7507242.7
Republic,Kansas,4980,1864,11769228.46
Washington,Kansas,5799,2328,11454385.39
Jewell,Kansas,3077,2386,11234295.92
Mitchell,Kansas,6373,1865,10507019.98
Marshall,Kansas,10117,2353,10581175.13
Jackson,Kansas,13462,1700,2361622.08
Brown,Kansas,9984,1480,11417245.57
Gove,Kansas,2695,2764,8352407.62
Allen,Kansas,13371,1312,2316120.04
Neosho,Kansas,16512,1501,4782699.88
Anderson,Kansas,8102,1508,4013370.05
Wichita,Kansas,2234,1864,12357803.98
Meade,Kansas,4575,2558,15512367.75
Lane,Kansas,1750,1864,4572985.65
Morton,Kansas,3233,1890,7053430.01
Greeley,Kansas,1247,2008,8968561.11
Gray,Kansas,6006,2238,17423820.15
Scott,Kansas,4936,1875,13180590.94
Lipscomb,Texas,3302,2398,2319583.09
Rawlins,Kansas,2519,2776,7485764.13
Stevens,Kansas,5724,1889,14993785.96
Cheyenne,Kansas,2726,2639,8562911.79
Sherman,Kansas,6010,2730,13602794.79
Wallace,Kansas,1485,2365,6448390.98
Grant,Kansas,7829,1490,13526400.79
Hansford,Texas,5613,2396,15818938.24
Kearny,Kansas,3977,2244,8482821.96
Stanton,Kansas,2235,1770,9381800.53
Seward,Kansas,22952,1663,12378292.89
Finney,Kansas,36776,3364,22529147.98
Hodgeman,Kansas,1916,2223,6692727.84
Logan,Kansas,2756,2783,6457776.53
Sheridan,Kansas,2556,2319,12181443.98
Thomas,Kansas,7900,2787,15805608.86
Trego,Kansas,3001,2336,3949593.85
Comanche,Kansas,1891,2043,2452853.11
Edwards,Kansas,3037,1602,12999744.7
Decatur,Kansas,2961,2320,6226157.05
Hamilton,Kansas,2690,2592,7517387.32
Norton,Kansas,5671,2292,5821159.92
Ford,Kansas,33848,2851,15914696.08
Rush,Kansas,3307,1858,5778452.97
Wilson,Kansas,9409,1485,4590058.4
Nemaha,Kansas,10178,1868,8277917.08
Cherokee,Kansas,21603,1527,7503478.9
Bourbon,Kansas,15173,1653,1853449.42
Crawford,Kansas,39134,1536,6670140.5
Labette,Kansas,21607,1702,6017264.68
Franklin,Kansas,25992,1496,4237845.12
Linn,Kansas,9656,1567,2761693.27
Miami,Kansas,32787,1528,3142095.04
Fayette,Kentucky,295803,738,5415207.94
Garrard,Kentucky,16912,606,459843.07
Boyle,Kentucky,28432,472,833517.43
Pendleton,Kentucky,14877,725,433457.96
Nicholas,Kentucky,7135,507,234811.46
Todd,Kentucky,12460,969,8540052.72
Trigg,Kentucky,14339,1244,5324663.45
Logan,Kentucky,26835,1438,11154851.96
Edmonson,Kentucky,12161,797,1361831.81
Russell,Kentucky,17565,734,1965958.2
Simpson,Kentucky,17327,605,3940632.62
Allen,Kentucky,19956,907,2943857.88
Barren,Kentucky,42173,1295,6715082.89
Taylor,Kentucky,24512,716,3533471.23
Henry,Kentucky,15416,753,1490374.53
Jefferson,Kentucky,741096,1025,13971750.23
Carroll,Kentucky,10811,354,482538.59
Shelby,Kentucky,42074,997,4266358.93
Metcalfe,Kentucky,10099,752,3871753.09
Adair,Kentucky,18656,1068,5682508.9
Mason,Kentucky,17490,636,1927198.1
Monroe,Kentucky,10963,856,5955665.03
Ballard,Kentucky,8249,709,8613087.44
Carlisle,Kentucky,5104,522,6057076.58
Fulton,Kentucky,6813,592,3831525.57
Hickman,Kentucky,4902,658,5822273.84
Calloway,Kentucky,37191,1060,6051337.74
Marshall,Kentucky,31448,886,3774965.98
Livingston,Kentucky,9519,875,2532243.84
Crittenden,Kentucky,9315,965,2944616.41
Hopkins,Kentucky,46920,1435,10126958.53
Lyon,Kentucky,8314,666,1219767.13
Webster,Kentucky,13621,869,4665167.17
Union,Kentucky,15007,932,9891000.98
Butler,Kentucky,12690,1119,3232713.28
West Baton Rouge,Louisiana,23788,523,10416461.2
Calhoun,Michigan,136146,1846,10506302.21
Missaukee,Michigan,14849,1481,1832901.41
Montcalm,Michigan,63342,1863,10997052.17
Gladwin,Michigan,25692,1337,3328801.43
Isabella,Michigan,70311,1497,8544897.85
Jackson,Michigan,160248,1875,7328947.73
Gratiot,Michigan,42476,1476,18967378.71
Montmorency,Michigan,9765,1463,2103745.4
St. Joseph,Michigan,61295,1343,13663322.71
Midland,Michigan,83629,1361,5924014.73
Ogemaw,Michigan,21699,1485,1579653.57
Shiawassee,Michigan,70648,1403,12130780.95
Wayne,Michigan,1820584,1599,35908837.5
Alpena,Michigan,29598,1544,3014685.4
Chippewa,Michigan,38520,4127,3108506.4
Eaton,Michigan,107759,1495,12372623.13
Kalamazoo,Michigan,250331,1501,10782427.53
Mecosta,Michigan,42798,1481,3483895.7
Osceola,Michigan,23528,1488,3611196.64
Wexford,Michigan,32735,1490,2891691.56
Ionia,Michigan,63905,1502,14477409.28
Kalkaska,Michigan,17153,1475,12909192.09
Lake,Michigan,11539,1487,4051576.71
Clare,Michigan,30926,1485,2763901.07
Crawford,Michigan,14074,1458,5227854.83
Roscommon,Michigan,24449,1504,813594.81
Clinton,Michigan,75382,1490,13635414.69
Cass,Michigan,52293,1310,11518587.94
Hillsdale,Michigan,46688,1566,11191324.7
Branch,Michigan,45248,1339,12108270.44
Oscoda,Michigan,8640,1489,4663374.89
Saginaw,Michigan,200169,2114,21910572.53
Otsego,Michigan,24164,1362,1907762.08
Rock,Minnesota,9687,1255,21218338.92
Dodge,Minnesota,20087,1133,18357687.39
Cook,Minnesota,5176,4192,3071302.14
Isanti,Minnesota,37816,1169,5716069.79
Carlton,Minnesota,35386,2273,15478721.69
Fillmore,Minnesota,20866,2248,22995160.41
Houston,Minnesota,19027,1482,8530956.91
Mower,Minnesota,39163,1841,32602569.6
Benton,Minnesota,38451,1064,11138937.26
Olmsted,Minnesota,144248,1690,19073942.49
Chisago,Minnesota,53887,1149,4483365.55
Pope,Minnesota,10995,1863,16616882.44
Morrison,Minnesota,33198,2975,10963610.75
Stearns,Minnesota,150642,3606,30288723.62
Todd,Minnesota,24895,2542,10030564.13
Crow Wing,Minnesota,62500,3005,4464911.86
Itasca,Minnesota,45058,7592,14844402.09
Rice,Minnesota,64142,1339,16229724.35
Brown,Minnesota,25893,1592,22542477.43
Nicollet,Minnesota,32727,1219,19393279.71
Kandiyohi,Minnesota,42239,2228,25333234.13
Meeker,Minnesota,23300,1674,17405467.31
Hubbard,Minnesota,20428,2594,15915258.08
Wadena,Minnesota,13843,1402,3256691.29
Kanabec,Minnesota,16239,1385,2590614.97
Martin,Minnesota,20840,1886,35230679
Steele,Minnesota,36576,1111,18413242.28
Jackson,Minnesota,10266,1855,26916626.98
Cottonwood,Minnesota,11687,1672,24979601.38
Waseca,Minnesota,19136,1125,18038042.59
Faribault,Minnesota,14553,1859,32629541.75
Freeborn,Minnesota,31255,1859,28280019
McLeod,Minnesota,36651,1305,18339545.99
Kittson,Minnesota,4552,2853,13669844.35
Marshall,Minnesota,9439,4682,24944458.9
Polk,Minnesota,31600,5171,39212146.75
Norman,Minnesota,6852,2273,20250406
Big Stone,Minnesota,5269,1367,14678000.84
Lac qui Parle,Minnesota,7259,2017,25893641.67
Becker,Minnesota,32504,3720,15234989.3
Traverse,Minnesota,3558,1516,25010763.82
Pennington,Minnesota,13930,1608,7822817.42
Red Lake,Minnesota,4089,1122,6397573.38
Mahnomen,Minnesota,5413,1529,8894797.2
Grant,Minnesota,6018,1485,17707340.33
Stevens,Minnesota,9726,1493,24611071.67
Swift,Minnesota,9783,1939,23121939.52
Douglas,Minnesota,36009,1861,10187890.46
Nobles,Minnesota,21378,1869,28399473.31
Lincoln,Minnesota,5896,1430,14880982.12
Lyon,Minnesota,25857,1860,28745287.15
Murray,Minnesota,8725,1852,24189118.64
Pipestone,Minnesota,9596,1202,12896594.73
Leflore,Mississippi,32317,1564,19085153.78
Washington,Mississippi,51137,1965,30017108.22
Sunflower,Mississippi,29450,1827,23763692.1
Holmes,Mississippi,19198,1999,9773937.27
Clay,Mississippi,20634,1073,1714114.91
Montgomery,Mississippi,10925,1056,2322854.58
Webster,Mississippi,10253,1088,2435429.47
Lee,Mississippi,82910,1178,5400726.38
Lafayette,Mississippi,47351,1755,2335428.77
Quitman,Mississippi,8223,1048,7782305.85
Oktibbeha,Mississippi,47671,1183,1394992.33
Winston,Mississippi,19198,1603,8839230.65
Calhoun,Mississippi,14962,1536,18182015.11
Chickasaw,Mississippi,17392,1313,3172915.87
Pontotoc,Mississippi,29957,1292,2932865.35
Benton,Mississippi,8729,1056,1604101.14
Grenada,Mississippi,21906,1161,8081318.62
Panola,Mississippi,34707,1838,8229997.04
Tippah,Mississippi,22232,1187,15239905.33
Union,Mississippi,27134,1074,2313510.26
Yalobusha,Mississippi,12678,1292,1966234.23
Alcorn,Mississippi,37057,1037,3004643.19
Itawamba,Mississippi,23401,1406,10674564.95
Prentiss,Mississippi,25276,1081,4545526.04
Tishomingo,Mississippi,19593,1158,3153943.77
Issaquena,Mississippi,1406,1144,5494761.15
Hancock,Mississippi,43929,1258,1296522.62
Covington,Mississippi,19568,1067,4121059.04
Adams,Mississippi,32297,1268,7342254.15
Lawrence,Mississippi,12929,1146,22322476.37
Lincoln,Mississippi,34869,1513,9077553.55
Pike,Mississippi,40404,1054,1413606.52
Walthall,Mississippi,15443,1046,1364010.6
George,Mississippi,22578,1269,1242354.11
Stone,Mississippi,17786,1156,695375.88
Clarke,Mississippi,16732,1805,3053221.8
Forrest,Mississippi,74934,1221,2189545.9
Greene,Mississippi,14400,1854,3017271.37
Jasper,Mississippi,17062,1776,1859055.69
Jones,Mississippi,67761,1799,3707838.11
Lauderdale,Mississippi,80261,1838,8466053.33
Newton,Mississippi,21720,1511,1828112.47
Perry,Mississippi,12250,1687,25945903.29
Wayne,Mississippi,20747,2103,19800809.11
Lamar,Mississippi,55658,1291,2516313.14
