County,State,Population in 2010,Area (sq km),Total Utility PV Hydrogen Potential (kg/yr)
Adams,Idaho,3976,3536,250600110
Washington,Indiana,28262,1340,898690933.3
Clark,Indiana,110232,979,716083652.9
Johnson,Iowa,130882,1615,1344255231
Washington,Iowa,21704,1479,1560253771
Wabaunsee,Kansas,7053,2066,1454737516
Ohio,Kentucky,23842,1547,721144252.4
Choctaw,Mississippi,8547,1082,805967689.5
Stone,Missouri,32202,1324,64488263.46
Washington,Missouri,25195,1980,160097009.5
Humboldt,Nevada,16528,25040,17651377232
White Pine,Nevada,10030,23039,14797347534
Lander,Nevada,5775,14303,10909296151
Elko,Nevada,48818,44541,26065391118
Mineral,Nevada,4772,9885,3502639604
Lyon,Nevada,51980,5223,2678943861
Nye,Nevada,43946,47052,34826214461
Carson City,Nevada,55274,408,39353796.86
Lincoln,North Carolina,78265,803,338234784.9
Mountrail,North Dakota,7673,5024,4719776875
Williams,North Dakota,22398,5555,5385086951
Delaware,Oklahoma,41487,2061,1186037188
Tillman,Oklahoma,7992,2284,3861047421
Coos,Oregon,63043,4170,168135635.8
Jefferson,Oregon,21720,4635,1112281987
Wheeler,Oregon,1441,4428,49520447.04
Tillamook,Oregon,25250,2847,94582836.46
Lake,Oregon,7895,21575,12482916523
Stanley,South Dakota,2966,3941,1988288759
Custer,South Dakota,8216,4041,983403221.6
Brown,South Dakota,36531,4491,6698906421
Gregory,South Dakota,4271,2721,1663255281
Dyer,Tennessee,38335,1371,1576945466
Bedford,Tennessee,45058,1237,1011285946
Cannon,Tennessee,13801,685,259312682
Rhea,Tennessee,31809,876,237526834.4
Orange,Texas,81837,984,475575610.8
DeWitt,Texas,20097,2351,3188068400
Dallas,Texas,2368139,2352,751133096.5
Parker,Texas,116927,2385,1928852617
Reeves,Texas,13783,6809,11489111630
Lampasas,Texas,19677,1843,1313104558
Bosque,Texas,18212,2596,2414536360
Cooke,Texas,38437,2301,2298357161
Montague,Texas,19719,2453,2229411732
Jim Wells,Texas,40838,2252,3658601015
Loudoun,Virginia,312311,1354,501102966.3
Hopewell,Virginia,22591,28,0
Trempealeau,Wisconsin,28816,1923,409510718.5
Burnett,Wisconsin,15457,2264,1973449572
Outagamie,Wisconsin,176695,1664,1766249461
